X_train,y_train
"[59514, 13662, 10612, 9, 259, 11096, 0]","[59514, 12182, 9, 22, 42296, 5, 1470, 0]"
"[59514, 30454, 13662, 30, 22583, 16143, 0]","[59514, 14743, 23, 9433, 36, 7631, 21, 8637, 1658, 14955, 21, 720, 6553, 21, 9, 597, 21, 5188, 11120, 0]"
"[59514, 945, 9339, 5934, 7297, 7646, 0]","[59514, 945, 9339, 5934, 7297, 7646, 0]"
"[59514, 13274, 2, 196, 32, 15, 41514, 30, 2183, 6780, 3, 402, 2635, 529, 6966, 50, 86, 246, 10323, 4, 365, 7, 46, 3585, 2, 10539, 7, 103, 3572, 3, 4188, 7888, 545, 103, 3581, 246, 26, 1159, 649, 2, 10, 73, 26, 499, 30, 103, 759, 2104, 3, 2010, 7888, 545, 681, 5130, 26, 499, 33, 32, 30, 103, 759, 2104, 2, 18, 4, 476, 464, 2, 10, 2836, 64, 18707, 3, 752, 2, 235, 55, 6, 158, 1905, 73, 890, 2207, 3226, 483, 101, 2, 10, 4383, 411, 7, 117, 2868, 64, 117, 47, 4323, 6, 9, 759, 36290, 12611, 2, 591, 117, 11148, 32, 4907, 73, 23973, 55, 26, 33, 499, 3, 402, 2635, 529, 6966, 50, 86, 73, 340, 218, 4850, 39462, 9, 0]","[59514, 12934, 2, 92, 167, 15, 34, 49, 38373, 17, 8, 29533, 23, 2183, 3, 402, 2635, 529, 6966, 50, 76, 3584, 63, 29, 19, 384, 20, 6, 25874, 4378, 2, 294, 636, 23, 356, 219, 20244, 3, 10945, 5, 4778, 20, 6, 1549, 24372, 219, 3777, 810, 17, 14, 6, 1549, 1159, 2, 11, 140, 56, 372, 5, 125, 1737, 1593, 3, 10754, 4778, 24372, 1476, 3777, 27, 16, 372, 5, 125, 1737, 1593, 2, 22, 223, 130, 2, 11, 12573, 20, 6, 584, 21, 4877, 13, 24961, 3, 2861, 2, 174, 88, 76, 36, 483, 590, 53, 1585, 36, 19, 1232, 2, 11, 40372, 590, 8, 1565, 5, 716, 2868, 36, 19, 12611, 22, 10929, 19953, 5, 193, 7763, 20, 6, 1549, 2, 849, 193, 0]"
"[59514, 660, 10571, 4, 1129, 16343, 9, 64, 4, 11634, 3, 160, 314, 40857, 9, 212, 1468, 3, 0]","[59514, 660, 13233, 139, 16, 11408, 5, 6055, 540, 19, 10929, 3, 530, 442, 49, 28364, 756, 363, 16, 2406, 6685, 3, 0]"
"[59514, 1648, 16036, 18466, 33712, 0]","[59514, 1648, 16036, 139, 14, 6, 21274, 12649, 21332, 0]"
"[59514, 11178, 8156, 23797, 108, 0]","[59514, 4703, 1502, 617, 5, 2407, 5, 2692, 657, 6587, 0]"
"[59514, 443, 55, 79, 22484, 15, 48682, 33, 69, 8621, 1097, 15, 681, 609, 51, 2, 591, 19444, 4, 14582, 6950, 51, 37313, 9319, 30, 67, 647, 86, 5346, 61, 12, 10973, 12, 117, 609, 51, 10642, 48, 154, 52, 4525, 18, 402, 2635, 23717, 41105, 50, 3, 0]","[59514, 350, 88, 867, 2343, 34, 1480, 617, 44, 15, 90, 26589, 23, 4068, 38, 7534, 4547, 8980, 2, 23, 442, 8589, 19, 9376, 38030, 17044, 709, 19, 369, 4547, 36, 120, 647, 2, 286, 62, 6, 38100, 63, 27, 95, 10493, 17, 716, 26305, 5, 4547, 3, 0]"
"[59514, 35, 436, 13847, 0]","[59514, 87, 6, 31017, 11387, 0]"
"[59514, 2120, 12, 1492, 3836, 15120, 0]","[59514, 8919, 17, 8, 677, 711, 6488, 0]"
"[59514, 301, 222, 0]","[59514, 301, 222, 0]"
"[59514, 1275, 24, 12362, 5565, 3079, 50, 28, 5609, 597, 0]","[59514, 1275, 24, 12362, 5565, 3079, 50, 28, 8195, 429, 0]"
"[59514, 14977, 8557, 1756, 4957, 0]","[59514, 14977, 135, 16930, 4957, 0]"
"[59514, 19497, 751, 567, 0]","[59514, 13315, 738, 751, 567, 0]"
"[59514, 35, 293, 647, 7, 4, 9086, 746, 2982, 22845, 111, 3707, 55, 12, 3826, 4, 5129, 15743, 2014, 2, 46, 20277, 64, 4, 1317, 7, 4, 44653, 2846, 1911, 6714, 30, 4, 349, 1798, 7, 4, 6240, 3, 35, 1317, 7, 6714, 115, 45, 9049, 124, 12, 5882, 4, 1863, 55, 3307, 18, 4, 2708, 2, 8065, 2, 10, 6165, 19524, 17693, 3, 443, 117, 12157, 2014, 32, 73, 841, 18, 4, 1317, 2, 55, 115, 5139, 15, 11402, 1634, 5558, 26, 453, 3, 21133, 30, 2, 55, 115, 3255, 117, 11126, 2014, 29717, 1097, 4, 9086, 38104, 4577, 3941, 3, 5778, 55, 79, 3819, 15, 5129, 2014, 2, 3734, 4, 5592, 9319, 3, 0]","[59514, 80, 677, 647, 5, 14, 6, 35852, 5, 6442, 88, 1328, 5, 4094, 14, 6, 10810, 6571, 5, 3007, 2, 23, 19, 45979, 31, 38, 1107, 5, 65, 5, 144, 2151, 20343, 2, 36, 19, 2333, 297, 5, 8, 7552, 3, 80, 1107, 13, 20343, 168, 100, 46423, 51, 27, 21904, 39, 1470, 29, 88, 867, 9796, 31, 16, 1404, 20, 6, 11300, 6573, 2, 8065, 11, 2847, 3, 350, 193, 12440, 81, 6, 82, 53, 662, 31, 8, 1107, 2, 88, 1069, 14134, 38, 1235, 34528, 17, 8, 245, 27, 19, 726, 3, 1516, 2065, 2, 88, 1069, 6002, 193, 12440, 5993, 17, 8, 643, 2, 23, 4068, 14, 6, 15214, 34966, 14, 6, 10810, 6571, 3, 469, 447, 29, 88, 867, 18524, 34, 12440, 0]"
"[59514, 3453, 4516, 5860, 98, 126, 905, 487, 2092, 713, 24, 190, 2321, 2092, 28, 0]","[59514, 3453, 10698, 1405, 363, 16, 214, 905, 470, 5, 3031, 19, 2092, 24, 8802, 19, 2092, 2321, 28, 0]"
"[59514, 874, 122, 331, 0]","[59514, 874, 122, 331, 93, 567, 2153, 18, 14, 1244, 9, 0]"
"[59514, 25906, 44440, 17557, 0]","[59514, 30151, 9, 1184, 20, 6, 3744, 0]"
"[59514, 37805, 8402, 0]","[59514, 34464, 5, 25618, 0]"
"[59514, 47, 4598, 14264, 401, 6113, 28, 11097, 47047, 0]","[59514, 49, 22396, 14264, 401, 21, 14160, 19730, 304, 1096, 0]"
"[59514, 180, 2672, 17633, 597, 9780, 9, 6, 2611, 169, 39873, 25, 0]","[59514, 180, 2672, 17633, 597, 9780, 9, 6, 2611, 5624, 14238, 6, 4096, 8690, 51, 3, 4486, 122, 0]"
"[59514, 301, 548, 37, 301, 331, 37, 301, 602, 0]","[59514, 301, 548, 402, 38492, 301, 331, 402, 38492, 301, 602, 0]"
"[59514, 31452, 37, 0]","[59514, 11655, 402, 38492, 0]"
"[59514, 1492, 2, 55, 115, 5139, 3818, 110, 64, 4, 7821, 2805, 2, 591, 55, 52, 1888, 42, 15, 1658, 1240, 34955, 2, 42, 85, 55, 115, 5139, 4, 9256, 55, 2356, 12, 1240, 3, 0]","[59514, 1570, 20, 6, 3126, 2, 88, 1069, 14134, 16827, 110, 31, 19, 2805, 32888, 2, 849, 38, 8856, 5, 1199, 20, 6, 4261, 9239, 2, 31, 915, 88, 1069, 14134, 19, 21211, 29, 88, 3586, 7112, 3, 0]"
"[59514, 48867, 0]","[59514, 23386, 16164, 0]"
"[59514, 32969, 25636, 446, 7, 1459, 1655, 124, 64, 4, 14353, 5686, 0]","[59514, 84, 10001, 108, 14, 6, 7529, 607, 446, 22, 1470, 34973, 540, 19, 2967, 21, 45495, 9, 0]"
"[59514, 1232, 3988, 403, 46, 3608, 35536, 0]","[59514, 89, 3621, 36, 19, 1232, 4263, 40, 3608, 559, 4768, 0]"
"[59514, 5846, 1817, 0]","[59514, 28903, 12995, 0]"
"[59514, 3848, 247, 117, 2627, 18, 27937, 4, 1017, 2025, 3, 0]","[59514, 2871, 32851, 51, 716, 5861, 5, 2776, 22, 2025, 4006, 3, 0]"
"[59514, 526, 32372, 29356, 3492, 30136, 190, 0]","[59514, 18346, 9151, 5, 32654, 526, 4274, 352, 21332, 0]"
"[59514, 1545, 1419, 10010, 0]","[59514, 1545, 9780, 1098, 18088, 3, 4486, 122, 0]"
"[59514, 301, 7889, 41, 301, 331, 0]","[59514, 301, 7889, 41, 301, 331, 0]"
"[59514, 402, 27741, 792, 2813, 3, 238, 1098, 5736, 4633, 50, 402, 27741, 792, 2813, 3, 238, 1098, 5736, 4633, 3, 7829, 50, 0]","[59514, 402, 2125, 6709, 11409, 3, 5444, 63, 5736, 4633, 50, 402, 2125, 6709, 11409, 3, 5444, 63, 5736, 4633, 3, 7829, 50, 0]"
"[59514, 5446, 158, 15210, 8695, 351, 27857, 1802, 10419, 12416, 4783, 4494, 5378, 0]","[59514, 234, 1935, 15210, 8695, 351, 376, 529, 1802, 10419, 12416, 4783, 4494, 5378, 0]"
"[59514, 43521, 0]","[59514, 9257, 3317, 0]"
"[59514, 8108, 0]","[59514, 8108, 0]"
"[59514, 35, 7139, 1817, 13847, 0]","[59514, 80, 8856, 5, 1199, 1648, 16036, 139, 402, 2635, 20477, 607, 108, 50, 0]"
"[59514, 7923, 49, 17922, 34955, 9, 36764, 12819, 18, 10, 176, 288, 154, 52, 3150, 57, 14673, 0]","[59514, 12641, 20407, 10696, 23, 470, 59, 23, 7631, 16, 17821, 1766, 6, 1295, 70, 34338, 59, 29031, 9, 657, 6587, 0]"
"[59514, 45041, 0]","[59514, 5042, 25765, 657, 6587, 0]"
"[59514, 1147, 528, 37, 25218, 42, 4, 476, 1129, 0]","[59514, 13092, 1282, 402, 38492, 4027, 22, 223, 689, 0]"
"[59514, 11660, 12751, 135, 24240, 13606, 5480, 588, 16494, 9, 18, 1769, 720, 511, 3, 6508, 64, 583, 12260, 74, 2635, 511, 5095, 1787, 74, 33275, 309, 74, 3730, 4598, 74, 11949, 74, 0]","[59514, 80, 1370, 135, 24240, 402, 29033, 13606, 6897, 1050, 32239, 9, 31, 1769, 720, 511, 3, 4, 1460, 540, 583, 12260, 74, 2635, 511, 5095, 1787, 74, 12050, 2470, 74, 3730, 4598, 74, 5, 483, 8153, 74, 0]"
"[59514, 8105, 6303, 18, 5537, 0]","[59514, 43175, 8676, 11875, 607, 31, 8, 1107, 1802, 1078, 0]"
"[59514, 39935, 9208, 0]","[59514, 60, 3792, 10850, 7476, 9, 1098, 817, 9, 2949, 9216, 9, 3, 4486, 122, 0]"
"[59514, 41963, 24, 751, 133, 38370, 265, 9, 4833, 28, 0]","[59514, 14469, 30823, 265, 24, 751, 1248, 8424, 32118, 12634, 28, 0]"
"[59514, 526, 48950, 11728, 4633, 211, 0]","[59514, 526, 48950, 20, 211, 8982, 107, 567, 5752, 17140, 817, 35408, 412, 13802, 3656, 3, 4486, 122, 0]"
"[59514, 359, 18086, 0]","[59514, 32790, 2418, 0]"
"[59514, 1717, 191, 4370, 1863, 26, 15, 414, 3, 0]","[59514, 2935, 34, 1470, 20, 6, 7910, 27, 34, 414, 3, 0]"
"[59514, 4484, 67, 12, 11523, 117, 27882, 23130, 3, 160, 23130, 3751, 32, 403, 12, 3583, 4, 4033, 27882, 5105, 12, 4, 11634, 3, 0]","[59514, 18093, 6306, 27, 34656, 193, 1725, 5, 25580, 3, 335, 23408, 5, 1725, 43, 1972, 27, 7978, 16, 5105, 25580, 4033, 9, 39, 10929, 3, 0]"
"[59514, 39081, 0]","[59514, 34245, 0]"
"[59514, 19661, 49, 23723, 0]","[59514, 3453, 10698, 1405, 34, 11603, 0]"
"[59514, 5559, 84, 1323, 0]","[59514, 2190, 174, 3681, 0]"
"[59514, 24, 3393, 514, 111, 288, 15, 800, 32, 3819, 28, 13331, 9, 15, 800, 64, 4, 971, 1317, 9200, 3, 4497, 4561, 33, 52, 246, 18, 67, 800, 52, 6360, 12, 4, 1920, 518, 3, 0]","[59514, 24, 45765, 810, 174, 34, 644, 43, 18524, 28, 25849, 63, 429, 6516, 34, 644, 5, 8, 1107, 5, 4561, 3, 83, 4561, 44, 95, 5266, 3018, 31, 66, 644, 70, 20071, 39, 432, 19, 65, 1426, 5, 8, 1107, 5, 4561, 3, 0]"
"[59514, 14972, 24, 46717, 9, 28, 0]","[59514, 87, 6, 27217, 24, 41962, 9, 28, 4444, 1611, 817, 10583, 1504, 3, 4486, 122, 0]"
"[59514, 8762, 37, 0]","[59514, 12999, 9, 402, 38492, 0]"
"[59514, 35, 1437, 32, 73, 15, 6647, 17734, 9766, 499, 1437, 3, 0]","[59514, 60, 2428, 81, 6, 82, 53, 34, 2428, 17734, 9766, 12679, 3, 0]"
"[59514, 25863, 760, 3, 545, 166, 2807, 259, 12717, 9, 6200, 401, 18, 75, 1410, 2, 18, 75, 10014, 28, 25863, 760, 3, 545, 166, 2807, 259, 12717, 9, 6200, 401, 10612, 9, 259, 44656, 28, 0]","[59514, 478, 3, 49, 36543, 51, 401, 863, 2, 9649, 28, 402, 29033, 50, 278, 32166, 328, 0]"
"[59514, 31780, 15, 6950, 660, 27551, 13801, 0]","[59514, 11238, 34, 43896, 609, 0]"
"[59514, 10406, 0]","[59514, 10406, 22316, 51, 817, 10583, 1504, 3, 4486, 122, 0]"
"[59514, 12595, 11379, 11016, 9, 0]","[59514, 12287, 9, 22, 23596, 0]"
"[59514, 27527, 14955, 747, 2, 2216, 2, 2216, 2460, 4, 27527, 3856, 3, 747, 2, 2216, 2, 2216, 32, 15, 258, 11395, 21, 673, 226, 19820, 346, 98, 2619, 52, 545, 12, 747, 2, 85, 899, 18, 3856, 3, 0]","[59514, 4330, 3462, 10078, 9, 747, 2, 747, 2, 747, 6447, 8, 4330, 22, 115, 10078, 9, 17, 13882, 3, 747, 2, 747, 2, 747, 43, 38, 9617, 258, 778, 334, 311, 363, 16, 2218, 70, 3521, 17, 747, 769, 66, 44, 2043, 34, 3220, 5, 5904, 3, 0]"
"[59514, 35, 1344, 403, 26, 8746, 23882, 20419, 24, 5612, 50, 2, 289, 8057, 4, 20206, 1129, 57, 8573, 783, 102, 0]","[59514, 80, 780, 4263, 27, 37168, 16, 6059, 22, 11430, 24, 529, 1312, 50, 16795, 19, 689, 5, 8, 21780, 59, 13, 783, 56, 20046, 102, 0]"
"[59514, 5661, 11585, 6210, 0]","[59514, 5661, 11585, 6210, 166, 1026, 18, 596, 452, 5173, 19055, 5817, 0]"
"[59514, 402, 11123, 596, 2555, 6200, 1829, 0]","[59514, 402, 11238, 38, 784, 1480, 5, 15388, 9, 1802, 7492, 0]"
"[59514, 260, 10503, 0]","[59514, 260, 2734, 0]"
"[59514, 8429, 48, 47, 9, 0]","[59514, 402, 10830, 1411, 2709, 0]"
"[59514, 37292, 1455, 402, 13911, 50, 0]","[59514, 4257, 1597, 446, 402, 13911, 50, 0]"
"[59514, 11157, 67, 2674, 235, 55, 639, 4, 1798, 3758, 2329, 12, 79, 1863, 606, 16494, 9, 3, 0]","[59514, 12739, 120, 2674, 174, 88, 3586, 29, 16, 32239, 9, 5, 8, 11831, 21288, 5026, 22, 1470, 175, 53, 20, 6, 29180, 3, 8941, 1078, 37, 18, 13498, 0]"
"[59514, 3685, 8463, 1160, 23379, 226, 1802, 511, 24536, 3, 57, 309, 0]","[59514, 3685, 8463, 1160, 383, 2914, 1802, 511, 24536, 3, 49, 1937, 0]"
"[59514, 9086, 15031, 10, 10014, 14435, 12, 1680, 3819, 6742, 401, 9, 28, 6315, 3, 0]","[59514, 34966, 8, 2880, 13, 2728, 11, 13, 21672, 27, 5785, 16, 6758, 29981, 7352, 3, 0]"
"[59514, 35, 2388, 12, 85, 4, 3143, 4923, 32, 6545, 0]","[59514, 60, 2388, 5194, 19, 24275, 3370, 43, 16392, 0]"
"[59514, 35, 19335, 16670, 34955, 0]","[59514, 80, 8856, 5, 1199, 5, 2776, 13, 2781, 0]"
"[59514, 402, 9086, 1413, 4577, 0]","[59514, 402, 37803, 14, 6, 10810, 5, 3007, 0]"
"[59514, 89, 15574, 3878, 0]","[59514, 402, 29033, 3878, 89, 15574, 2203, 4977, 9, 49, 8727, 101, 0]"
"[59514, 18787, 647, 3, 0]","[59514, 2190, 5, 1470, 3, 0]"
"[59514, 301, 548, 301, 331, 0]","[59514, 301, 548, 301, 331, 0]"
"[59514, 238, 8147, 5, 14921, 13813, 0]","[59514, 238, 8147, 14921, 13813, 166, 1026, 18, 8330, 190, 0]"
"[59514, 14346, 0]","[59514, 14346, 0]"
"[59514, 31902, 7, 4, 37450, 3, 0]","[59514, 28950, 5, 8, 4061, 3, 0]"
"[59514, 35, 1700, 2796, 6508, 35620, 124, 0]","[59514, 60, 4101, 5, 14, 6, 10029, 2443, 317, 2613, 2418, 657, 6587, 0]"
"[59514, 41704, 16494, 1468, 288, 55, 3012, 30, 57, 1165, 7366, 10301, 3, 0]","[59514, 87, 6, 29180, 20, 6, 41914, 713, 1150, 88, 1482, 265, 59, 3259, 9531, 265, 153, 402, 29033, 1509, 75, 1744, 10301, 402, 29033, 1958, 0]"
"[59514, 301, 548, 226, 6966, 0]","[59514, 301, 548, 383, 6966, 0]"
"[59514, 708, 6247, 28524, 6204, 0]","[59514, 19034, 22, 4179, 5, 258, 5210, 0]"
"[59514, 44930, 4, 365, 7, 32102, 18, 4, 34265, 2, 57, 8236, 4, 7965, 7, 3819, 32102, 57, 4, 13722, 7, 3819, 24274, 3, 16114, 9, 15, 34955, 3, 0]","[59514, 36761, 51, 19, 384, 5, 863, 22, 478, 5, 28964, 2, 59, 7102, 8, 6073, 13, 2728, 59, 8, 12930, 13, 21672, 29981, 3, 33261, 38, 8856, 5, 1199, 3, 0]"
"[59514, 7875, 0]","[59514, 23992, 0]"
"[59514, 20767, 21, 28149, 26487, 0]","[59514, 28901, 2899, 21, 1046, 0]"
"[59514, 1789, 5139, 64, 1828, 4, 6, 35195, 9, 7, 28761, 25, 259, 4, 6, 35195, 9, 7, 11563, 6, 669, 110, 0]","[59514, 4366, 4094, 31, 14, 6, 112, 13, 3725, 153, 402, 29033, 10968, 9, 22, 8411, 9, 402, 29033, 416, 59, 153, 402, 29033, 10968, 9, 5, 8, 22847, 402, 29033, 416, 110, 0]"
"[59514, 16340, 15675, 301, 548, 1016, 8537, 3, 1123, 55, 639, 12, 314, 40857, 61, 54, 646, 499, 18, 67, 15675, 86, 45, 3964, 3, 0]","[59514, 60, 3254, 8178, 301, 548, 1969, 754, 3, 24730, 41, 682, 14, 6, 28364, 139, 402, 29033, 54, 3743, 16, 372, 68, 6, 107, 3108, 439, 34691, 3, 0]"
"[59514, 89, 75, 13259, 50, 1392, 19335, 23919, 0]","[59514, 89, 7101, 376, 50, 1392, 28155, 16422, 139, 0]"
"[59514, 15832, 23569, 34209, 42, 452, 12815, 0]","[59514, 2871, 5736, 169, 8234, 72, 954, 22861, 352, 3148, 63, 4662, 1406, 0]"
"[59514, 4577, 7, 4, 87, 9560, 2104, 27402, 0]","[59514, 21708, 5, 14, 6, 41599, 1593, 87, 9560, 0]"
"[59514, 39406, 35871, 0]","[59514, 3055, 3097, 26132, 0]"
"[59514, 9673, 42504, 9, 0]","[59514, 25720, 16, 1052, 0]"
"[59514, 35, 15675, 9, 79, 118, 3765, 3, 0]","[59514, 83, 4821, 91, 90, 40879, 9, 3, 0]"
"[59514, 9673, 12, 4, 2110, 3482, 0]","[59514, 38115, 108, 8, 3117, 626, 6, 584, 3404, 4983, 0]"
"[59514, 4484, 797, 36228, 5, 1071, 5594, 10642, 12, 9133, 67, 2758, 18, 14802, 3, 0]","[59514, 22551, 8, 6442, 5, 18191, 111, 738, 258, 18626, 17702, 27, 17240, 120, 2758, 31, 34, 30797, 3, 0]"
"[59514, 18714, 9062, 24225, 0]","[59514, 17859, 6943, 51, 22, 18714, 9062, 3275, 9216, 81, 6587, 24, 9313, 253, 28, 0]"
"[59514, 1932, 32, 4, 1648, 16036, 24966, 2805, 6372, 288, 47, 402, 258, 10503, 50, 5487, 30, 15, 6508, 54, 0]","[59514, 1955, 19, 2805, 1648, 16036, 139, 19, 4101, 43, 41, 107, 12619, 1082, 157, 137, 6652, 402, 188, 6515, 50, 36, 34, 4101, 402, 29033, 54, 0]"
"[59514, 526, 532, 3439, 0]","[59514, 526, 532, 3439, 0]"
"[59514, 402, 5846, 37, 0]","[59514, 402, 19767, 402, 38492, 0]"
"[59514, 5454, 8365, 0]","[59514, 7520, 5, 14, 6, 9788, 21332, 0]"
"[59514, 301, 548, 167, 48927, 11379, 9, 0]","[59514, 301, 548, 167, 19473, 63, 20182, 5645, 16035, 313, 18, 34, 7722, 24, 18359, 3511, 28, 0]"
"[59514, 9184, 2704, 43802, 0]","[59514, 7406, 1502, 22, 21115, 5, 6911, 0]"
"[59514, 6221, 5508, 963, 37, 0]","[59514, 6492, 2114, 3549, 363, 16, 402, 38492, 0]"
"[59514, 4527, 9499, 6, 9, 6467, 1410, 37, 0]","[59514, 863, 5, 3745, 5, 4527, 9499, 402, 38492, 0]"
"[59514, 20210, 23725, 7, 4, 2796, 18080, 0]","[59514, 4333, 5373, 20, 6, 9407, 5, 8, 17545, 22, 2443, 0]"
"[59514, 11540, 101, 26, 272, 12, 1769, 0]","[59514, 134, 16450, 5, 14776, 22, 272, 8247, 1078, 13934, 1167, 2, 4, 5470, 32, 4527, 395, 101, 26, 15, 1506, 4662, 12, 3679, 51, 0]"
"[59514, 10047, 0]","[59514, 15284, 18088, 3, 4486, 122, 0]"
"[59514, 89, 75, 13259, 50, 43703, 50, 47, 16517, 375, 190, 9314, 0]","[59514, 89, 7101, 376, 50, 18579, 50, 47, 20289, 25365, 7529, 607, 108, 0]"
"[59514, 13308, 0]","[59514, 4863, 0]"
"[59514, 8105, 16084, 10323, 3, 0]","[59514, 15932, 384, 5, 11330, 3, 0]"
"[59514, 12406, 4, 9432, 26, 29464, 746, 24, 1637, 212, 28, 479, 3, 443, 10042, 24, 63, 2959, 517, 28, 32, 15108, 2, 4, 9432, 32, 801, 26, 1265, 9929, 246, 3, 0]","[59514, 40276, 34, 3404, 5, 2099, 27, 19, 14776, 24, 3432, 92, 167, 23, 15, 102, 350, 14, 6, 9313, 153, 402, 29033, 15080, 402, 29033, 416, 43, 806, 17598, 2, 19, 3404, 5, 2099, 81, 6, 82, 5644, 29, 27, 16, 1871, 20, 6, 28349, 3, 0]"
"[59514, 560, 52, 191, 4036, 18, 15675, 301, 4011, 85, 79, 73, 118, 46419, 12, 4, 11634, 1743, 2, 152, 4, 15675, 94, 118, 11285, 30, 4, 11634, 57, 55, 197, 73, 79, 3771, 649, 327, 30, 4, 15675, 12, 32838, 254, 3, 646, 2912, 4036, 86, 1085, 45, 6360, 12, 301, 331, 12, 3710, 499, 3070, 3, 0]","[59514, 104, 1969, 5, 950, 4036, 31, 19, 3254, 301, 548, 81, 6, 11284, 53, 481, 90, 15748, 39, 10929, 2, 175, 345, 66, 3254, 15, 754, 90, 16174, 22, 10929, 2, 345, 88, 81, 6, 4110, 53, 16, 209, 20, 6, 1549, 19083, 2147, 20, 6, 17261, 129, 4036, 3, 83, 4036, 12089, 4085, 1119, 100, 20071, 709, 301, 331, 27, 3804, 13, 6007, 5, 372, 3, 0]"
